Week,Price
2015-03-06,1.22
2015-03-13,1.20
2015-03-20,1.16
2015-03-27,1.15
2015-04-03,1.10
2015-04-10,1.12
2015-04-17,1.15
2015-04-24,1.14
2015-05-01,1.14
2015-05-08,1.13
2015-05-15,1.15
2015-05-22,1.13
2015-05-29,1.11
2015-06-05,1.15
2015-06-12,1.16
2015-06-19,1.16
2015-06-26,1.19
2015-07-03,1.19
2015-07-10,1.22
2015-07-17,1.26
2015-07-24,1.30
2015-07-31,1.26
2015-08-07,1.18
2015-08-14,1.19
2015-08-21,1.20
2015-08-28,1.22
2015-09-04,1.21
2015-09-11,1.29
2015-09-18,1.51
2015-09-25,1.29
2015-10-02,1.30
2015-10-09,1.30
2015-10-16,1.29
2015-10-23,1.29
2015-10-30,1.27
2015-11-06,1.31
2015-11-13,1.24
2015-11-20,1.28
2015-11-27,1.27
2015-12-04,1.30
2015-12-11,1.25
2015-12-18,1.25
2015-12-25,1.27
2016-01-01,1.27
2016-01-08,1.25
2016-01-15,1.17
2016-01-22,1.22
2016-01-29,1.22
2016-02-05,1.17
2016-02-12,1.12
2016-02-19,1.20
2016-02-26,1.19
2016-03-04,1.20
2016-03-11,1.33
2016-03-18,1.37
2016-03-25,1.29
2016-04-01,1.34
2016-04-08,1.45
2016-04-15,1.59
2016-04-22,1.89
2016-04-29,2.20
2016-05-06,1.87
2016-05-13,1.88
2016-05-20,1.69
2016-05-27,1.70
2016-06-03,1.66
2016-06-10,1.65
2016-06-17,1.60
2016-06-24,1.64
2016-07-01,1.61
2016-07-08,1.65
2016-07-15,1.73
2016-07-22,1.88
2016-07-29,1.75
2016-08-05,1.51
2016-08-12,1.44
2016-08-19,1.49
2016-08-26,1.48
2016-09-02,1.43
2016-09-09,1.41
2016-09-16,1.40
2016-09-23,1.44
2016-09-30,1.41
2016-10-07,1.49
2016-10-14,1.47
2016-10-21,1.48
2016-10-28,1.49
2016-11-04,1.45
2016-11-11,1.34
2016-11-18,1.36
2016-11-25,1.34
2016-12-02,1.38
2016-12-09,1.34
2016-12-16,1.34
2016-12-23,1.34
2016-12-30,1.31
2017-01-06,1.33
2017-01-13,1.43
2017-01-20,1.40
2017-01-27,1.48
2017-02-03,1.40
2017-02-10,1.35
2017-02-17,1.42
2017-02-24,1.36
2017-03-03,1.35
2017-03-10,1.36
2017-03-17,1.34
2017-03-24,1.32
2017-03-31,1.30
2017-04-07,1.34
2017-04-14,1.36
2017-04-21,1.45
2017-04-28,1.37
2017-05-05,1.45
2017-05-12,1.37
2017-05-19,1.36
2017-05-26,1.33
2017-06-02,1.36
2017-06-09,1.45
2017-06-16,1.37
2017-06-23,1.38
2017-06-30,1.40
2017-07-07,1.44
2017-07-14,1.52
2017-07-21,1.39
2017-07-28,1.36
2017-08-04,1.38
2017-08-11,1.36
2017-08-18,1.37
2017-08-25,1.36
2017-09-01,1.38
2017-09-08,1.35
2017-09-15,1.33
2017-09-22,1.33
2017-09-29,1.33
2017-10-06,1.37
2017-10-13,1.36
2017-10-20,1.39
2017-10-27,1.40
2017-11-03,1.40
2017-11-10,1.38
2017-11-17,1.39
2017-11-24,1.37
2017-12-01,1.36
2017-12-08,1.34
2017-12-15,1.50
2017-12-22,1.41
2017-12-29,1.40
2018-01-05,1.37
2018-01-12,1.41
2018-01-19,1.41
2018-01-26,1.46
2018-02-02,1.63
2018-02-09,1.57
2018-02-16,1.52
2018-02-23,1.52
2018-03-02,1.59
2018-03-09,1.52
2018-03-16,1.49
2018-03-23,1.49
2018-03-30,1.47
2018-04-06,1.47
2018-04-13,1.47
2018-04-20,1.43
2018-04-27,1.41
2018-05-04,1.38
2018-05-11,1.38
2018-05-18,1.38
2018-05-25,1.36
2018-06-01,1.41
2018-06-08,1.62
2018-06-15,1.87
2018-06-22,2.36
2018-06-29,3.30
2018-07-06,2.62
2018-07-13,2.75
2018-07-20,2.91
2018-07-27,3.00
2018-08-03,3.54
2018-08-10,3.02
2018-08-17,3.08
2018-08-24,3.03
2018-08-31,3.07
2018-09-07,2.92
2018-09-14,2.90
2018-09-21,2.91
2018-09-28,2.83
2018-10-05,2.46
2018-10-12,2.92
2018-10-19,3.21
2018-10-26,3.45
2018-11-02,3.20
2018-11-09,6.80
2018-11-16,7.81
2018-11-23,6.65
2018-11-30,6.41
2018-12-07,5.56
2018-12-14,5.80
2018-12-21,6.02
2018-12-28,6.03
