Week,Price
2015-03-06,15.68
2015-03-13,15.40
2015-03-20,15.20
2015-03-27,15.58
2015-04-03,15.44
2015-04-10,15.76
2015-04-17,15.40
2015-04-24,14.60
2015-05-01,15.00
2015-05-08,14.60
2015-05-15,15.10
2015-05-22,14.94
2015-05-29,13.30
2015-06-05,13.20
2015-06-12,13.38
2015-06-19,13.48
2015-06-26,13.30
2015-07-03,13.44
2015-07-10,13.10
2015-07-17,13.50
2015-07-24,12.60
2015-07-31,11.90
2015-08-07,11.86
2015-08-14,12.00
2015-08-21,11.60
2015-08-28,11.38
2015-09-04,11.72
2015-09-11,12.16
2015-09-18,12.90
2015-09-25,12.40
2015-10-02,12.42
2015-10-09,12.60
2015-10-16,12.50
2015-10-23,12.60
2015-10-30,12.40
2015-11-06,13.10
2015-11-13,13.18
2015-11-20,13.00
2015-11-27,13.48
2015-12-04,13.64
2015-12-11,13.30
2015-12-18,13.80
2015-12-25,14.00
2016-01-01,13.80
2016-01-08,12.58
2016-01-15,12.12
2016-01-22,10.78
2016-01-29,11.40
2016-02-05,11.90
2016-02-12,11.80
2016-02-19,12.30
2016-02-26,12.30
2016-03-04,12.96
2016-03-11,12.90
2016-03-18,13.56
2016-03-25,13.50
2016-04-01,13.00
2016-04-08,12.70
2016-04-15,12.70
2016-04-22,12.36
2016-04-29,12.48
2016-05-06,11.70
2016-05-13,12.62
2016-05-20,12.96
2016-05-27,12.60
2016-06-03,12.76
2016-06-10,12.88
2016-06-17,12.92
2016-06-24,12.42
2016-07-01,12.70
2016-07-08,12.50
2016-07-15,12.76
2016-07-22,12.70
2016-07-29,13.02
2016-08-05,13.00
2016-08-12,12.28
2016-08-19,12.70
2016-08-26,12.00
2016-09-02,11.80
2016-09-09,11.74
2016-09-16,11.36
2016-09-23,11.94
2016-09-30,12.06
2016-10-07,12.70
2016-10-14,12.68
2016-10-21,13.34
2016-10-28,12.50
2016-11-04,12.24
2016-11-11,12.10
2016-11-18,13.40
2016-11-25,12.74
2016-12-02,13.40
2016-12-09,13.50
2016-12-16,12.90
2016-12-23,12.60
2016-12-30,13.26
2017-01-06,13.10
2017-01-13,13.08
2017-01-20,13.06
2017-01-27,13.00
2017-02-03,12.96
2017-02-10,13.00
2017-02-17,13.00
2017-02-24,13.00
2017-03-03,13.06
2017-03-10,12.46
2017-03-17,11.86
2017-03-24,11.50
2017-03-31,11.40
2017-04-07,12.00
2017-04-14,12.16
2017-04-21,12.78
2017-04-28,12.86
2017-05-05,13.24
2017-05-12,13.12
2017-05-19,13.24
2017-05-26,13.40
2017-06-02,13.66
2017-06-09,14.50
2017-06-16,14.42
2017-06-23,14.64
2017-06-30,14.10
2017-07-07,14.70
2017-07-14,15.10
2017-07-21,15.60
2017-07-28,16.02
2017-08-04,15.66
2017-08-11,15.68
2017-08-18,15.60
2017-08-25,15.66
2017-09-01,15.70
2017-09-08,15.76
2017-09-15,16.52
2017-09-22,15.90
2017-09-29,15.60
2017-10-06,15.80
2017-10-13,16.00
2017-10-20,15.60
2017-10-27,15.68
2017-11-03,15.60
2017-11-10,15.50
2017-11-17,14.50
2017-11-24,15.00
2017-12-01,14.50
2017-12-08,14.32
2017-12-15,13.86
2017-12-22,14.28
2017-12-29,14.40
2018-01-05,14.72
2018-01-12,14.60
2018-01-19,14.64
2018-01-26,14.50
2018-02-02,14.56
2018-02-09,13.80
2018-02-16,13.80
2018-02-23,13.60
2018-03-02,13.24
2018-03-09,13.22
2018-03-16,13.68
2018-03-23,12.98
2018-03-30,12.16
2018-04-06,12.46
2018-04-13,12.36
2018-04-20,12.10
2018-04-27,11.50
2018-05-04,10.80
2018-05-11,10.70
2018-05-18,10.20
2018-05-25,10.78
2018-06-01,10.90
2018-06-08,11.12
2018-06-15,10.74
2018-06-22,10.00
2018-06-29,10.50
2018-07-06,11.02
2018-07-13,11.00
2018-07-20,11.00
2018-07-27,11.70
2018-08-03,12.40
2018-08-10,12.38
2018-08-17,11.38
2018-08-24,12.02
2018-08-31,12.80
2018-09-07,12.60
2018-09-14,12.38
2018-09-21,12.14
2018-09-28,11.38
2018-10-05,11.72
2018-10-12,12.00
2018-10-19,12.34
2018-10-26,11.98
2018-11-02,12.84
2018-11-09,12.50
2018-11-16,12.70
2018-11-23,13.08
2018-11-30,12.34
2018-12-07,12.58
2018-12-14,12.40
2018-12-21,12.70
2018-12-28,12.78
2019-01-04,12.78
2019-01-11,12.80
2019-01-18,12.12
2019-01-25,12.00
2019-02-01,12.76
2019-02-08,12.42
2019-02-15,12.50
2019-02-22,12.28
2019-03-01,11.18
2019-03-08,11.56
2019-03-15,12.40
2019-03-22,12.40
2019-03-29,12.00
2019-04-05,11.74
2019-04-12,12.08
2019-04-19,12.00
2019-04-26,11.38
2019-05-03,11.28
2019-05-10,10.38
2019-05-17,9.76
2019-05-24,10.12
2019-05-31,10.58
2019-06-07,10.44
2019-06-14,10.22
2019-06-21,10.54
2019-06-28,10.30
2019-07-05,10.22
2019-07-12,10.10
2019-07-19,10.56
2019-07-26,10.38
2019-08-02,10.30
2019-08-09,9.67
2019-08-16,9.25
2019-08-23,9.22
2019-08-30,9.05
2019-09-06,8.82
2019-09-13,9.19
2019-09-20,8.84
2019-09-27,8.50
2019-10-04,8.44
2019-10-11,9.00
2019-10-18,9.10
2019-10-25,8.20
2019-11-01,8.21
2019-11-08,7.63
2019-11-15,7.59
2019-11-22,6.55
2019-11-29,6.50
2019-12-06,6.05
2019-12-13,5.55
2019-12-20,6.38
2019-12-27,6.61
2020-01-03,6.45
2020-01-10,7.07
2020-01-17,6.36
2020-01-24,6.20
2020-01-31,6.10
2020-02-07,6.10
2020-02-14,5.84
2020-02-21,5.62
2020-02-28,5.30
2020-03-06,5.33
2020-03-13,5.02
2020-03-20,3.69
2020-03-27,3.60
2020-04-03,3.84
2020-04-10,4.00
2020-04-17,4.37
2020-04-24,4.18
2020-05-01,4.12
2020-05-08,4.15
2020-05-15,4.15
2020-05-22,4.10
2020-05-29,3.94
2020-06-05,4.59
2020-06-12,4.43
2020-06-19,4.24
2020-06-26,4.01
2020-07-03,4.16
2020-07-10,4.10
2020-07-17,3.85
2020-07-24,3.50
2020-07-31,3.55
2020-08-07,3.70
2020-08-14,3.70
2020-08-21,3.90
2020-08-28,4.00
2020-09-04,3.96
2020-09-11,4.05
2020-09-18,4.00
2020-09-25,4.05
2020-10-02,4.00
2020-10-09,4.30
2020-10-16,4.27
2020-10-23,4.56
2020-10-30,4.39
2020-11-06,4.86
2020-11-13,5.31
2020-11-20,5.55
2020-11-27,5.60
2020-12-04,5.77
2020-12-11,6.07
2020-12-18,6.06
2020-12-25,5.90
2021-01-01,5.66
2021-01-08,5.66
2021-01-15,5.44
